ICD10_Code,dx_name,N,oncotree_code,Confidence,Metastasis,ICD10 info,level_1,level_2,level_3,level_4,level_5
C48.0,Sarcoma of retroperitoneum (CMS-HCC),2,,,,,,,,,
C49.9,Angiosarcoma (CMS-HCC),2,,,,,,,,,
C49.9,DSRCT (desmoplastic small round cell tumor) (CMS-HCC),2,,,,,,,,,
C49.9,Desmoplastic small round cell tumor (CMS-HCC),2,,,,,,,,,
C49.9,Malignant neoplasm of connective and other soft tissue,2,,,,,,,,,
C49.9,Malignant tenosynovial giant cell tumor (CMS-HCC),2,,,,,,,,,
C49.9,Myxoid liposarcoma (CMS-HCC),2,,,,,,,,,
C49.9,Pleomorphic rhabdomyosarcoma (CMS-HCC),2,,,,,,,,,
C49.9,Sarcomatous metastasis to skin (CMS-HCC),2,,,,,,,,,
C49.9,Soft tissue sarcoma (CMS-HCC),2,,,,,,,,,
C49.A0,Gastrointestinal stromal tumor (GIST) associated with mutation in SDHC gene (CMS-HCC),2,,,,,,,,,
C49.A0,SDHB-related gastrointestinal stromal tumor (CMS-HCC),2,,,,,,,,,
C49.A0,Stromal tumor of digestive system (CMS-HCC),2,,,,,,,,,
C49.A9,Malignant gastrointestinal stromal tumor (GIST) of other site (CMS-HCC),2,,,,,,,,,
C4A.9,Merkel cell carcinoma nodal presentation (CMS-HCC),2,,,,,,,,,
C50.012,Malignant neoplasm of nipple of left breast in female (CMS-HCC),2,,,,,,,,,
C50.312,Malignant neoplasm of lower-inner quadrant of left breast in female,2,,,,,,,,,
C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,2,,,,,,,,,
C50.819,Malignant neoplasm of overlapping sites of breast in female,2,,,,,,,,,
C50.911,Breast cancer metastasized to axillary lymph node,2,,,,,,,,,
C50.911,Breast cancer metastasized to large intestine,2,,,,,,,,,
C50.911,Cancer of right breast metastatic to brain (CMS-HCC),2,,,,,,,,,
C50.911,Invasive ductal carcinoma of right breast in female (CMS-HCC),2,,,,,,,,,
C50.911,Right breast cancer with malignant cells in regional lymph nodes no greater than 0.2 mm and no more than 200 cells (CMS-HCC),2,,,,,,,,,
C50.912,Breast cancer metastasized to multiple sites,2,,,,,,,,,
C50.912,Breast carcinoma metastatic to lymph node of head,2,,,,,,,,,
C50.912,Cancer of left breast metastatic to brain (CMS-HCC),2,,,,,,,,,
C50.912,Carcinoma of breast metastatic to axillary lymph node,2,,,,,,,,,
C50.912,Carcinoma of left breast metastatic to bone (CMS-HCC),2,,,,,,,,,
C50.912,Infiltrating ductal carcinoma of left breast (CMS-HCC),2,,,,,,,,,
C50.912,Left breast cancer with T3 tumor,2,,,,,,,,,
C50.912,Recurrent breast cancer,2,,,,,,,,,
C50.919,Breast cancer metastasized to axillary lymph node (CMS-HCC),2,,,,,,,,,
C50.919,Breast cancer metastasized to brain,2,,,,,,,,,
C50.919,Breast cancer metastasized to brain (CMS-HCC),2,,,,,,,,,
C50.919,Breast cancer metastasized to intra-abdominal lymph nodes,2,,,,,,,,,
C50.919,Breast cancer metastasized to liver (CMS-HCC),2,,,,,,,,,
C50.919,Breast cancer metastasized to lung,2,,,,,,,,,
C50.919,Breast cancer metastasized to lung (CMS-HCC),2,,,,,,,,,
C50.919,Breast cancer metastasized to multiple sites (CMS-HCC),2,,,,,,,,,
C50.919,Breast cancer metastasized to skin (CMS-HCC),2,,,,,,,,,
C50.919,Carcinoma of breast metastatic to bone,2,,,,,,,,,
C50.919,Carcinoma of breast metastatic to bone (CMS-HCC),2,,,,,,,,,
C50.919,Invasive ductal carcinoma of breast (CMS-HCC),2,,,,,,,,,
C50.919,Malignant neoplasm of breast in female,2,,,,,,,,,
C50.919,Malignant neoplasm of other specified sites of female breast,2,,,,,,,,,
C50.919,Metastasis from breast cancer (CMS-HCC),2,,,,,,,,,
C50.919,PALB2-related breast cancer (CMS-HCC),2,,,,,,,,,
C50.919,Recurrent breast cancer,2,,,,,,,,,
C51.9,Malignant melanoma of vulva (CMS-HCC),2,,,,,,,,,
C53.9,Malignant neoplasm of cervix,2,,,,,,,,,
C53.9,Malignant neoplasm of cervix uteri (CMS-HCC),2,,,,,,,,,
C53.9,Primary malignant neoplasm of cervix (CMS-HCC),2,,,,,,,,,
C53.9,Squamous cell carcinoma of cervix (CMS-HCC),2,,,,,,,,,
C54.1,Endometrial cancer,2,,,,,,,,,
C54.9,Uterine sarcoma (CMS-HCC),2,,,,,,,,,
C55,Adenocarcinoma of uterus (CMS-HCC),2,,,,,,,,,
C55,Uterine cancer (CMS-HCC),2,,,,,,,,,
C56.9,Carcinoma of ovary (CMS-HCC),2,,,,,,,,,
C56.9,Epithelial ovarian cancer,2,,,,,,,,,
C56.9,Primary malignant neoplasm of ovary (CMS-HCC),2,,,,,,,,,
C56.9,Serous cystadenoma,2,,,,,,,,,
C57.00,Fallopian tube carcinoma (CMS-HCC),2,,,,,,,,,
C57.9,Gynecologic malignancy (CMS-HCC),2,,,,,,,,,
C61,Adenocarcinoma of prostate (CMS-HCC),2,,,,,,,,,
C61,Primary prostate cancer with metastasis from prostate to other site (CMS-HCC),2,,,,,,,,,
C61,Prostate cancer metastatic to central nervous system (CMS-HCC),2,,,,,,,,,
C61,Prostate cancer metastatic to liver (CMS-HCC),2,,,,,,,,,
C62.90,Germ cell neoplasm of testicle (CMS-HCC),2,,,,,,,,,
C62.90,Malignant neoplasm of testis,2,,,,,,,,,
C62.90,Testis cancer (CMS-HCC),2,,,,,,,,,
C62.91,Testicular carcinoma,2,,,,,,,,,
C64.2,Malignant neoplasm of kidney,2,,,,,,,,,
C64.2,Urothelial carcinoma of kidney,2,,,,,,,,,
C64.9,Clear cell carcinoma of kidney (CMS-HCC),2,,,,,,,,,
C64.9,Malignant neoplasm of kidney,2,,,,,,,,,
C64.9,Renal cancer (CMS-HCC),2,,,,,,,,,
C64.9,Renal cell cancer,2,,,,,,,,,
C66.2,Urothelial carcinoma of left distal ureter (CMS-HCC),2,,,,,,,,,
C66.9,Malignant tumor of ureter (CMS-HCC),2,,,,,,,,,
C67.2,Malignant neoplasm of lateral wall of urinary bladder (CMS-HCC),2,,,,,,,,,
C67.9,Bladder carcinoma (CMS-HCC),2,,,,,,,,,
C69.31,Choroidal malignant melanoma,2,,,,,,,,,
C71.2,Glioblastoma multiforme of temporal lobe (CMS-HCC),2,,,,,,,,,
C71.9,Glioblastoma multiforme (CMS-HCC),2,,,,,,,,,
C71.9,Glioblastoma multiforme of brain (CMS-HCC),2,,,,,,,,,
C71.9,Glioma of brain (CMS-HCC),2,,,,,,,,,
C71.9,Malignant neoplasm of brain (CMS-HCC),2,,,,,,,,,
C73,Anaplastic thyroid carcinoma (CMS-HCC),2,,,,,,,,,
C73,Local recurrence of cancer of thyroid gland (CMS-HCC),2,,,,,,,,,
C73,Metastasis from thyroid cancer (CMS-HCC),2,,,,,,,,,
C74.00,Carcinoma,2,,,,,,,,,
C74.90,Adrenocortical carcinoma (CMS-HCC),2,,,,,,,,,
C74.91,Adrenal cancer,2,,,,,,,,,
C76.0,Malignant neoplasm of head,2,,,,,,,,,
C76.1,Axillary adenocarcinoma (CMS-HCC),2,,,,,,,,,
C77.0,Malignant neoplasm metastatic to cervicofacial lymph node with unknown primary site (CMS-HCC),2,,,,,,,,,
C77.0,Malignant neoplasm metastatic to lymph node of neck (CMS-HCC),2,,,,,,,,,
C77.0,Metastasis to cervical lymph node (CMS-HCC),2,,,,,,,,,
C77.0,Secondary malignancy of lymph nodes of neck with unknown primary site (CMS-HCC),2,,,,,,,,,
C77.1,Secondary malignancy of mediastinal lymph nodes (CMS-HCC),2,,,,,,,,,
C77.2,Breast cancer metastasized to intra-abdominal lymph nodes,2,,,,,,,,,
C77.2,Colon cancer metastasized to intra-abdominal lymph node (CMS-HCC),2,,,,,,,,,
C77.2,Metastasis to mesenteric lymph node (CMS-HCC),2,,,,,,,,,
C77.2,Metastasis to retroperitoneal lymph node (CMS-HCC),2,,,,,,,,,
C77.2,Secondary malignancy of retroperitoneal lymph nodes (CMS-HCC),2,,,,,,,,,
C77.3,Breast cancer metastasized to axillary lymph node (CMS-HCC),2,,,,,,,,,
C77.3,Carcinoma of breast metastatic to axillary lymph node,2,,,,,,,,,
C77.3,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb,2,,,,,,,,,
C77.3,Secondary malignant neoplasm of lymph nodes of upper extremity (CMS-HCC),2,,,,,,,,,
C77.5,Rectal cancer metastasized to intrapelvic lymph node (CMS-HCC),2,,,,,,,,,
C77.9,Right breast cancer with malignant cells in regional lymph nodes no greater than 0.2 mm and no more than 200 cells (CMS-HCC),2,,,,,,,,,
C78.00,Breast cancer metastasized to lung,2,,,,,,,,,
C78.00,Breast cancer metastasized to lung (CMS-HCC),2,,,,,,,,,
C78.00,Colon carcinoma metastatic to lung (CMS-HCC),2,,,,,,,,,
C78.00,Lymphangitic lung metastasis (CMS-HCC),2,,,,,,,,,
C78.00,Malignant neoplasm metastatic to lung (CMS-HCC),2,,,,,,,,,
C78.00,Metastatic melanoma to lung,2,,,,,,,,,
C78.00,Secondary melanoma of lung (CMS-HCC),2,,,,,,,,,
C78.01,Metastatic melanoma to lung,2,,,,,,,,,
C78.01,Secondary malignant neoplasm of right lung (CMS-HCC),2,,,,,,,,,
C78.01,Secondary melanoma of lung,2,,,,,,,,,
C78.02,Malignant neoplasm metastatic to left lung (CMS-HCC),2,,,,,,,,,
C78.02,Secondary malignant neoplasm of left lung (CMS-HCC),2,,,,,,,,,
C78.2,Pleural metastasis (CMS-HCC),2,,,,,,,,,
C78.4,Colon cancer metastasized to small intestine (CMS-HCC),2,,,,,,,,,
C78.5,Breast cancer metastasized to large intestine,2,,,,,,,,,
C78.5,Malignant neoplasm metastatic to anal canal with unknown primary site (CMS-HCC),2,,,,,,,,,
C78.5,Secondary malignant neoplasm of appendix with unknown primary site (CMS-HCC),2,,,,,,,,,
C78.6,Secondary malignant neoplasm of retroperitoneum (CMS-HCC),2,,,,,,,,,
C78.7,Breast cancer metastasized to liver (CMS-HCC),2,,,,,,,,,
C78.7,Carcinoma of pancreas metastatic to liver (CMS-HCC),2,,,,,,,,,
C78.7,Prostate cancer metastatic to liver (CMS-HCC),2,,,,,,,,,
C78.89,Malignant neoplasm metastatic to thoracic esophagus with unknown primary site (CMS-HCC),2,,,,,,,,,
C79.11,Secondary malignant neoplasm of bladder (CMS-HCC),2,,,,,,,,,
C79.2,Breast cancer metastasized to skin (CMS-HCC),2,,,,,,,,,
C79.2,Metastasis to skin (CMS-HCC),2,,,,,,,,,
C79.2,Sarcomatous metastasis to skin (CMS-HCC),2,,,,,,,,,
C79.31,Breast cancer metastasized to brain,2,,,,,,,,,
C79.31,Breast cancer metastasized to brain (CMS-HCC),2,,,,,,,,,
C79.31,Cancer of left breast metastatic to brain (CMS-HCC),2,,,,,,,,,
C79.31,Cancer of right breast metastatic to brain (CMS-HCC),2,,,,,,,,,
C79.31,Malignant neoplasm metastatic to brain (CMS-HCC),2,,,,,,,,,
C79.40,Prostate cancer metastatic to central nervous system (CMS-HCC),2,,,,,,,,,
C79.49,Cancer with leptomeningeal spread (CMS-HCC),2,,,,,,,,,
C79.49,Leptomeningitis,2,,,,,,,,,
C79.49,Malignant meningitis (CMS-HCC),2,,,,,,,,,
C79.51,Carcinoma of breast metastatic to bone,2,,,,,,,,,
C79.51,Carcinoma of breast metastatic to bone (CMS-HCC),2,,,,,,,,,
C79.51,Carcinoma of left breast metastatic to bone (CMS-HCC),2,,,,,,,,,
C79.51,Colon carcinoma metastatic to bone (CMS-HCC),2,,,,,,,,,
C79.51,Metastatic cancer to spine (CMS-HCC),2,,,,,,,,,
C79.51,Rectal adenocarcinoma metastatic to bone (CMS-HCC),2,,,,,,,,,
C79.51,Rectal cancer metastatic to bone (CMS-HCC),2,,,,,,,,,
C79.51,Secondary malignant neoplasm of rib (CMS-HCC),2,,,,,,,,,
C79.51,Spinal cord compression due to malignant neoplasm metastatic to spine (CMS-HCC),2,,,,,,,,,
C79.51,Spine metastasis (CMS-HCC),2,,,,,,,,,
C79.60,Colon carcinoma metastatic to ovary (CMS-HCC),2,,,,,,,,,
C79.70,Cancer of adrenal gland,2,,,,,,,,,
C79.89,Metastatic cancer to chest wall (CMS-HCC),2,,,,,,,,,
C79.89,Metastatic melanoma to parotid gland (CMS-HCC),2,,,,,,,,,
C79.89,Metastatic squamous cell carcinoma to parotid gland (CMS-HCC),2,,,,,,,,,
C79.89,Rectal cancer metastasized to pelvis (CMS-HCC),2,,,,,,,,,
C79.89,Secondary squamous cell carcinoma of head and neck with unknown primary site (CMS-HCC),2,,,,,,,,,
C79.89,Squamous cell carcinoma metastatic to head and neck with unknown primary site (CMS-HCC),2,,,,,,,,,
C79.9,Metastasis from breast cancer (CMS-HCC),2,,,,,,,,,
C79.9,Metastasis from malignant tumor of lung,2,,,,,,,,,
C79.9,Metastasis from thyroid cancer (CMS-HCC),2,,,,,,,,,
C7A.1,Malignant poorly differentiated neuroendocrine carcinoma (CMS-HCC),2,,,,,,,,,
C7A.1,Neuroendocrine carcinoma,2,,,,,,,,,
C7A.8,Neuroendocrine carcinoma of small bowel (CMS-HCC),2,,,,,,,,,
C7A.8,Primary malignant neuroendocrine tumor of pancreas (CMS-HCC),2,,,,,,,,,
C7A.8,Primary neuroendocrine carcinoma of small intestine (CMS-HCC),2,,,,,,,,,
C7B.09,Metastatic carcinoid tumor to intra-abdominal site (CMS-HCC),2,,,,,,,,,
C7B.1,Merkel cell carcinoma nodal presentation (CMS-HCC),2,,,,,,,,,
C7B.8,Metastatic malignant neuroendocrine tumor to lymph node (CMS-HCC),2,,,,,,,,,
C80.1,Cancer with unknown primary site (CMS-HCC),2,,,,,,,,,
C80.1,Encounter for ablation of malignant neoplasm with goal of debulking or cytoreduction (CMS-HCC),2,,,,,,,,,
C80.1,Epithelial-myoepithelial carcinoma (CMS-HCC),2,,,,,,,,,
C80.1,Germ cell tumor (CMS-HCC),2,,,,,,,,,
C80.1,Leptomeningitis,2,,,,,,,,,
C80.1,Malignant meningitis (CMS-HCC),2,,,,,,,,,
C80.1,Malignant neoplasm ablation encounter,2,,,,,,,,,
C80.1,Malignant neoplasm metastatic to anal canal with unknown primary site (CMS-HCC),2,,,,,,,,,
C80.1,Malignant neoplasm metastatic to cervicofacial lymph node with unknown primary site (CMS-HCC),2,,,,,,,,,
C80.1,Malignant neoplasm metastatic to thoracic esophagus with unknown primary site (CMS-HCC),2,,,,,,,,,
C80.1,Malignant neoplastic disease (CMS-HCC),2,,,,,,,,,
C80.1,Malignant pericardial effusion (CMS-HCC),2,,,,,,,,,
C80.1,Mucoepidermoid carcinoma (CMS-HCC),2,,,,,,,,,
C80.1,Secondary malignancy of lymph nodes of neck with unknown primary site (CMS-HCC),2,,,,,,,,,
C80.1,Secondary malignant neoplasm of appendix with unknown primary site (CMS-HCC),2,,,,,,,,,
C80.1,Secondary squamous cell carcinoma of head and neck with unknown primary site (CMS-HCC),2,,,,,,,,,
C80.1,Squamous cell carcinoma metastatic to head and neck with unknown primary site (CMS-HCC),2,,,,,,,,,
C80.1,Tumor cells,2,,,,,,,,,
C81.90,Hodgkin's disease (CMS-HCC),2,,,,,,,,,
C82.10,Follicular lymphoma grade II (CMS-HCC),2,,,,,,,,,
C82.80,Follicular low grade B-cell lymphoma (CMS-HCC),2,,,,,,,,,
C82.90,Follicular lymphoma (CMS-HCC),2,,,,,,,,,
C83.18,Mantle cell lymphoma of lymph nodes of multiple sites (CMS-HCC),2,,,,,,,,,
C85.19,Cutaneous B-cell lymphoma (CMS-HCC),2,,,,,,,,,
C85.90,Non Hodgkin's lymphoma (CMS-HCC),2,,,,,,,,,
C85.90,Non-Hodgkin lymphoma (CMS-HCC),2,,,,,,,,,
C85.99,Malignant lymphoma of extranodal and solid organ sites (CMS-HCC),2,,,,,,,,,
C90.01,Multiple myeloma in remission (CMS-HCC),2,,,,,,,,,
C92.00,AML (acute myeloblastic leukemia) (CMS-HCC),2,,,,,,,,,
C92.10,CML (chronic myelocytic leukemia) (CMS-HCC),2,,,,,,,,,
D03.59,Melanoma in situ of back (CMS-HCC),2,,,,,,,,,
D03.59,Melanoma in situ of skin of trunk (CMS-HCC),2,,,,,,,,,
D03.9,Melanoma in situ (CMS-HCC),2,,,,,,,,,
D05.02,Breast neoplasm,2,,,,,,,,,
D05.11,Ductal carcinoma in situ (DCIS) of both breasts,2,,,,,,,,,
D05.12,Ductal carcinoma in situ (DCIS) of both breasts,2,,,,,,,,,
D06.9,Adenocarcinoma in situ (AIS) of uterine cervix,2,,,,,,,,,
D06.9,Adenocarcinoma in situ of cervix,2,,,,,,,,,
D06.9,Carcinoma in situ of cervix uteri,2,,,,,,,,,
D09.9,CIS (carcinoma in situ),2,,,,,,,,,
D12.1,Appendiceal mucinous cystadenoma,2,,,,,,,,,
D12.6,Adenoma of colon,2,,,,,,,,,
D12.6,Adenomatous colon polyp,2,,,,,,,,,
D12.6,Serrated adenoma of colon,2,,,,,,,,,
D13.6,Benign tumor of pancreas,2,,,,,,,,,
D16.5,Ameloblastoma of jaw,2,,,,,,,,,
D17.71,Angiomyolipoma of left kidney,2,,,,,,,,,
D17.9,Angiomyolipoma,2,,,,,,,,,
D18.03,Hepatic hemangioma,2,,,,,,,,,
D18.03,Liver hemangioma,2,,,,,,,,,
D22.9,Atypical nevi,2,,,,,,,,,
D22.9,Multiple atypical nevi,2,,,,,,,,,
D24.2,Fibroadenoma of left breast,2,,,,,,,,,
D24.9,Fibroadenoma,2,,,,,,,,,
D24.9,Intraductal papilloma of breast,2,,,,,,,,,
D25.0,Intramural and submucous leiomyoma of uterus,2,,,,,,,,,
D25.1,Intramural and submucous leiomyoma of uterus,2,,,,,,,,,
D27.9,Cystadenofibroma,2,,,,,,,,,
D27.9,Serous cystadenoma,2,,,,,,,,,
D35.00,Pheochromocytoma,2,,,,,,,,,
D35.1,Parathyroid adenoma,2,,,,,,,,,
D35.2,Pituitary macroadenoma with extrasellar extension (CMS-HCC),2,,,,,,,,,
D35.2,Pituitary microadenoma (CMS-HCC),2,,,,,,,,,
D36.10,Neuroma,2,,,,,,,,,
D36.10,Schwannoma,2,,,,,,,,,
D36.13,Neuroma of foot,2,,,,,,,,,
D36.9,Tubulovillous adenoma,2,,,,,,,,,
D37.6,Neoplasm of uncertain behavior of liver and biliary passages,2,,,,,,,,,
D39.10,Granulosa cell tumor of ovary,2,,,,,,,,,
D39.11,Ovarian tumor of borderline malignancy,2,,,,,,,,,
D3A.8,Primary neuroendocrine tumor of pancreas,2,,,,,,,,,
D45,Polycythemia vera (CMS-HCC),2,,,,,,,,,
D46.9,MDS (myelodysplastic syndrome) (CMS-HCC),2,,,,,,,,,
D46.9,Myelodysplastic syndrome (CMS-HCC),2,,,,,,,,,
D47.1,MPN (myeloproliferative neoplasm) (CMS-HCC),2,,,,,,,,,
D47.1,Myeloproliferative disease (CMS-HCC),2,,,,,,,,,
D48.0,Neoplasm of uncertain behavior of bone and articular cartilage,2,,,,,,,,,
D48.1,Desmoid fibromatosis,2,,,,,,,,,
D48.1,Hemangioblastoma,2,,,,,,,,,
D48.4,Cystic mesothelioma,2,,,,,,,,,
D48.9,Giant cell tumor,2,,,,,,,,,
D48.9,Teratoma,2,,,,,,,,,
D49.0,Liver tumor,2,,,,,,,,,
D49.0,Pancreatic endocrine tumor,2,,,,,,,,,
D49.0,Retroperitoneal tumor,2,,,,,,,,,
D49.0,Small bowel tumor,2,,,,,,,,,
D49.0,Tumor of tongue,2,,,,,,,,,
D49.1,Lung tumor,2,,,,,,,,,
D49.2,Lumbar spine tumor,2,,,,,,,,,
D49.2,Neoplasm of unspecified nature of bone,2,,,,,,,,,
D49.59,Ovarian tumor,2,,,,,,,,,
D49.59,Testicular tumor,2,,,,,,,,,
D49.6,Intracranial tumor (CMS-HCC),2,,,,,,,,,
D49.7,Follicular neoplasm of thyroid,2,,,,,,,,,
D49.7,Pituitary tumor,2,,,,,,,,,
D49.81,Choroid tumor,2,,,,,,,,,
E07.89,Thyroid mass of unclear etiology,2,,,,,,,,,
G95.20,Spinal cord compression due to malignant neoplasm metastatic to spine (CMS-HCC),2,,,,,,,,,
I31.8,Malignant pericardial effusion (CMS-HCC),2,,,,,,,,,
I81,Portal vein thrombosis secondary to invasion with hepatocellular carcinoma (CMS-HCC),2,,,,,,,,,
IMO0002,Endometrioid adenocarcinoma,2,,,,,,,,,
K63.5,Hyperplastic colonic polyp,2,,,,,,,,,
K63.5,Polyposis of colon,2,,,,,,,,,
K63.5,Sessile colonic polyp,2,,,,,,,,,
M84.58XA,Pathological fracture of vertebra due to neoplastic disease,2,,,,,,,,,
Q85.00,Neurofibromatosis (CMS-HCC),2,,,,,,,,,
Z15.02,PALB2-related breast cancer (CMS-HCC),2,,,,,,,,,
Z15.09,PALB2-related breast cancer (CMS-HCC),2,,,,,,,,,
Z15.89,PALB2-related breast cancer (CMS-HCC),2,,,,,,,,,
Z17.0,Malignant neoplasm of central portion of right breast in female,2,,,,,,,,,
Z17.0,Malignant neoplasm of lower-inner quadrant of left breast in female,2,,,,,,,,,
Z17.0,Malignant neoplasm of overlapping sites of breast in female,2,,,,,,,,,
Z17.0,Malignant neoplasm of upper-inner quadrant of right breast in female,2,,,,,,,,,
Z17.1,Malignant neoplasm of overlapping sites of left breast in female,2,,,,,,,,,
Z17.1,Malignant neoplasm of overlapping sites of right breast in female,2,,,,,,,,,
Z17.1,Malignant neoplasm of upper-inner quadrant of right breast in female,2,,,,,,,,,
C00.1,Lower lip carcinoma,1,,,,,,,,,
C00.9,Lip cancer,1,,,,,,,,,
C01,Primary squamous cell carcinoma of base of tongue (CMS-HCC),1,,,,,,,,,
C02.3,Cancer of anterior two-thirds of tongue (CMS-HCC),1,,,,,,,,,
C02.4,Malignant neoplasm of lingual tonsil (CMS-HCC),1,,,,,,,,,
C02.9,Cancer of tongue (CMS-HCC),1,,,,,,,,,
C02.9,Primary squamous cell carcinoma of tongue (CMS-HCC),1,,,,,,,,,
C03.9,Gingival carcinoma (CMS-HCC),1,,,,,,,,,
C03.9,Squamous cell carcinoma of gingiva (CMS-HCC),1,,,,,,,,,
C04.8,Malignant neoplasm overlapping floor of mouth site (CMS-HCC),1,,,,,,,,,
C04.9,Cancer of floor of mouth (CMS-HCC),1,,,,,,,,,
C04.9,Carcinoma of floor of mouth (CMS-HCC),1,,,,,,,,,
C04.9,Squamous cell carcinoma of floor of mouth (CMS-HCC),1,,,,,,,,,
C05.0,Cancer of hard palate (CMS-HCC),1,,,,,,,,,
C05.0,Mucoepidermoid carcinoma of hard palate (CMS-HCC),1,,,,,,,,,
C05.1,Cancer of soft palate (CMS-HCC),1,,,,,,,,,
C05.1,Squamous cell carcinoma of soft palate (CMS-HCC),1,,,,,,,,,
C05.9,Cancer of junction of hard and soft palate (CMS-HCC),1,,,,,,,,,
C05.9,Carcinoma of palate (CMS-HCC),1,,,,,,,,,
C05.9,Squamous cell carcinoma of palate (CMS-HCC),1,,,,,,,,,
C06.0,Buccal mucosa squamous cell carcinoma (CMS-HCC),1,,,,,,,,,
C06.0,Cancer of buccal mucosa (CMS-HCC),1,,,,,,,,,
C06.9,Adenoid cystic carcinoma of minor salivary gland (CMS-HCC),1,,,,,,,,,
C06.9,Malignant neoplasm of mouth (CMS-HCC),1,,,,,,,,,
C06.9,Primary cancer of oral cavity (CMS-HCC),1,,,,,,,,,
C06.9,Verrucous carcinoma of oral cavity (CMS-HCC),1,,,,,,,,,
C07,Myoepithelial carcinoma of parotid gland (CMS-HCC),1,,,,,,,,,
C07,Parotid gland adenocarcinoma (CMS-HCC),1,,,,,,,,,
C07,Primary parotid gland mucoepidermoid carcinoma (CMS-HCC),1,,,,,,,,,
C07,Primary parotid gland squamous cell carcinoma (CMS-HCC),1,,,,,,,,,
C07,Squamous cell carcinoma of parotid (CMS-HCC),1,,,,,,,,,
C08.0,Adenoid cystic carcinoma of submandibular gland (CMS-HCC),1,,,,,,,,,
C08.0,Malignant neoplasm submandibular gland (CMS-HCC),1,,,,,,,,,
C08.9,Adenocarcinoma of salivary gland (CMS-HCC),1,,,,,,,,,
C08.9,Carcinoma in pleomorphic adenoma of salivary gland (CMS-HCC),1,,,,,,,,,
C08.9,Salivary gland cancer (CMS-HCC),1,,,,,,,,,
C09.1,Squamous cell carcinoma of tonsillar pillar (CMS-HCC),1,,,,,,,,,
C09.9,Cancer of tonsil (CMS-HCC),1,,,,,,,,,
C09.9,Carcinoma of tonsil (CMS-HCC),1,,,,,,,,,
C09.9,Squamous cell carcinoma of faucial tonsil (CMS-HCC),1,,,,,,,,,
C09.9,Squamous cell carcinoma of left tonsil (CMS-HCC),1,,,,,,,,,
C10.2,Squamous cell carcinoma of lateral wall of oropharynx (CMS-HCC),1,,,,,,,,,
C11.9,Carcinoma of nasopharynx (CMS-HCC),1,,,,,,,,,
C11.9,Squamous cell carcinoma of nasopharynx (CMS-HCC),1,,,,,,,,,
C12,Cancer of pyriform sinus (CMS-HCC),1,,,,,,,,,
C13.9,Malignant tumor of laryngopharynx (CMS-HCC),1,,,,,,,,,
C14.8,Cancer of the lip,1,,,,,,,,,
C15.9,Adenocarcinoma of esophagus (CMS-HCC),1,,,,,,,,,
C15.9,Esophageal carcinoma (CMS-HCC),1,,,,,,,,,
C15.9,Malignant neoplasm of esophagus (CMS-HCC),1,,,,,,,,,
C15.9,Squamous cell esophageal cancer (CMS-HCC),1,,,,,,,,,
C16.0,Adenocarcinoma of gastroesophageal junction (CMS-HCC),1,,,,,,,,,
C16.0,Malignant neoplasm of cardia (CMS-HCC),1,,,,,,,,,
C16.0,Malignant neoplasm of cardia of stomach (CMS-HCC),1,,,,,,,,,
C16.4,Malignant neoplasm of pylorus (CMS-HCC),1,,,,,,,,,
C16.8,Malignant neoplasm of overlapping sites of stomach (CMS-HCC),1,,,,,,,,,
C16.9,Leiomyosarcoma of stomach (CMS-HCC),1,,,,,,,,,
C16.9,Malignant neoplasm of other specified sites of stomach,1,,,,,,,,,
C16.9,Primary cancer of stomach with metastasis to other site (CMS-HCC),1,,,,,,,,,
C16.9,Signet-ring cell carcinoma of stomach (CMS-HCC),1,,,,,,,,,
C17.0,Adenocarcinoma of duodenum (CMS-HCC),1,,,,,,,,,
C17.0,Malignant tumor of duodenum (CMS-HCC),1,,,,,,,,,
C17.9,Adenocarcinoma of small bowel (CMS-HCC),1,,,,,,,,,
C17.9,Cancer of small bowel,1,,,,,,,,,
C17.9,Small bowel cancer (CMS-HCC),1,,,,,,,,,
C17.9,Small bowel carcinoma (CMS-HCC),1,,,,,,,,,
C17.9,Stage IV adenocarcinoma of small bowel (CMS-HCC),1,,,,,,,,,
C18.0,Malignant neoplasm of cecum (CMS-HCC),1,,,,,,,,,
C18.1,Carcinoma of appendix (CMS-HCC),1,,,,,,,,,
C18.1,Goblet cell carcinoid (CMS-HCC),1,,,,,,,,,
C18.1,Primary malignant neoplasm of appendix (CMS-HCC),1,,,,,,,,,
C18.1,Primary mucinous adenocarcinoma of appendix (CMS-HCC),1,,,,,,,,,
C18.2,Cancer of right colon (CMS-HCC),1,,,,,,,,,
C18.2,Carcinoma of right colon (CMS-HCC),1,,,,,,,,,
C18.4,Adenocarcinoma of transverse colon (CMS-HCC),1,,,,,,,,,
C18.4,Cancer of transverse colon (CMS-HCC),1,,,,,,,,,
C18.4,Primary cancer of transverse colon (CMS-HCC),1,,,,,,,,,
C18.6,Cancer of descending colon (CMS-HCC),1,,,,,,,,,
C18.6,Cancer of left colon (CMS-HCC),1,,,,,,,,,
C18.7,Cancer of sigmoid (flexure) (CMS-HCC),1,,,,,,,,,
C18.8,Overlapping malignant neoplasm of colon (CMS-HCC),1,,,,,,,,,
